commodity_code,median_idr_per_kg,std_idr_per_kg,source
cabai_merah,45000,8000,ESTIMATED_baseline_not_in_PIHPS
cabai_rawit,41000,20852,PIHPS_2022_median
bawang_merah,32500,10222,PIHPS_2022_median
bawang_putih,20750,3518,PIHPS_2022_median
tomat,12000,2500,SYNTHETIC
kentang,14000,2000,SYNTHETIC
kol,8000,1500,SYNTHETIC
wortel,11000,2000,SYNTHETIC
beras_premium,11800,1100,PIHPS_2022_consumer_widened_for_farmgate
beras_medium,10250,900,PIHPS_2022_consumer_widened_for_farmgate
jagung,6000,800,SYNTHETIC
kedelai,11000,1500,SYNTHETIC
telur_ayam,29000,3500,SYNTHETIC
daging_ayam,37000,4500,SYNTHETIC
daging_sapi,138000,12000,SYNTHETIC
gula_pasir,18000,1500,SYNTHETIC
minyak_goreng,16500,2000,SYNTHETIC
ikan_segar,35000,5000,SYNTHETIC
tepung_terigu,13000,1200,SYNTHETIC
